	english	sinhala	Similarity score	Alignment score
0	Copy the selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.5235789887374267	0.846154
1	Select a Folder	ප්ලගිනයක් තෝරාගන්න	0.520131386583671	0.481908
2	Scan the file system	ගොනු පද්ධතිය පරිලෝකණය කරන්න	0.5171951899537817	0.720238
3	profile file	ගොනුව කම්පයිල් කරන්න	0.5171050681965426	0.335165
4	Select file	සියල්ල තෝරන්න (_A)	0.5145794737909455	0.423246
5	Select Files	ලඟදී විවර කල ගොනු	0.513917929813033	0.722222
6	Unstage Files	ලඟදී විවර කල ගොනු	0.5124372852151282	0.722222
8	Mailbox files	සියළු ගොනු	0.5099021438800264	0.512987
9	Highlight syntax	උද්දීපන ආකාරය (_H)	0.5092035552952439	0.416409
10	Synchronization file	සමමුහුර්ථකරණ URI එක	0.5084682012093253	0.705952
12	New empty file	නව හිස් ගොනුවක්	0.5054814552422613	0.35625
13	Configure project	ව්‍යාපෘතිය වින්‍යාසකරණය කරන්න	0.5047973601904232	0.9
14	Configure Project	ව්‍යාපෘතිය වින්‍යාසකරණය කරන්න	0.5047973601904232	0.9
15	Regenerate project	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.5044459749478847	0.741935
16	Sort shortcuts	කෙටි මාර්‍ගය	0.5040399408608209	0.641026
17	Update the working copy	ප්‍රස්තාරය යාවත්කාලීන කරන්න	0.5039151574310381	0.300595
18	Ignore files	ගොනුව වසන්න	0.5032862428925	0.519231
19	Switch device	උපකරණය සිරුමාරුව	0.5029800363640854	0.455882
20	Create patch series	නව ඩිරෙක්ටරි බිහිකරන්න	0.5025646444119047	0.784783
21	Remove Files	ලඟදී විවර කල ගොනු	0.5018101041205227	0.369658
22	View log	සටහන් දර්ශනය	0.5016398296575062	0.508547
23	Build popup commands	උත්පතන නිමැවුම් විධාන	0.5004539739165921	0.652597
24	Close file	ගොනුව වසන්න	0.4990996158448979	0.477273
25	Apply mailbox files	සියළු ගොනු	0.49750516536005307	0.427273
26	Makefile project	ව්‍යාපෘතිය වින්‍යාසකරණය කරන්න	0.49686145983287133	0.9
27	Unlist Project	ව්‍යාපෘතිය පිහිටුවන්න	0.4953704826766625	0.483333
28	six of spades	ඉස්කෝප්ප හය	0.49472923050052486	0.375
29	Search in project files	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.4940016207692679	0.554435
30	Select projects directory	හිස් ඩිරෙක්ටරි මකන්න	0.4938572510582162	0.430403
31	Display description of the applet	පරිශීලක අතුරුමුහුණතේ XML විස්තරය	0.49370467517292127	0.597594
32	Shell script files	වර්තමාන ගොනුව සුරකින්න	0.493355661368696	0.358124
33	Rename file or directory	add: කලයුතු ගොනුව හෝ ඩිරෙක්ටරිය තෝරාගන්න	0.4928596982936142	0.570732
34	Select one directory	හිස් ඩිරෙක්ටරි මකන්න	0.49281515897018835	0.785714
35	Select package	ප්ලගිනයක් තෝරාගන්න	0.49263268694630824	0.496491
36	Launcher Properties	මෙනු වත්කම්	0.49189385963836685	1.0
38	Keyboard Type	යතුරු පුවරු වර්ගය	0.49106072783470156	0.345238
39	Sorted in opening order	විවෘත කල පිලිවෙලට අනුපිලිවෙලට සකසන්න	0.49079714372055605	0.447635
40	footer	පාදකය	0.4907496136147529	1.0
41	Compact contact list	සංයුක්ත සබඳතා ලැයිස්තුව	0.4907425754312156	1.0
42	Discover Binding	බන්ධනය අනාවරණය කරන්න	0.4905096038096193	0.401961
43	Cut the selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.4901651893160306	0.638889
44	Shrink	හැකිලෙනවා	0.49003119190456346	1.0
45	Highlight style	උද්දීපන ආකාරය (_H)	0.48966686316998675	0.319079
46	Find _Previous	සොයන්න පෙර (_P)	0.48948645978816785	0.489583
47	Select project directory	හිස් ඩිරෙක්ටරි මකන්න	0.48901405834476463	0.720952
48	Build commands	නිමැවුම් විධාන	0.4888962976401672	0.5
49	caption	යටි ලියමන	0.48748896762845106	0.7
50	Delete empty directories	හිස් ඩිරෙක්ටරි මකන්න	0.48741922044428065	1.0
51	Supported Encodings	සහාය දක්වන කේතන	0.4873063305276446	0.8125
52	Reload	ප්‍රථිපූරණය	0.48663543484872207	1.0
53	Add a remote repository	රිපොසිටරියට එක් කරන්න	0.4865999387402553	0.676136
54	Excluded partitions URIs	අත්හල පංගු	0.4863953470485285	0.327273
55	Highlight source code	උද්දීපන ආකාරය (_H)	0.4861427913274383	0.437799
56	Build project tarball distribution	ව්‍යාපෘතියේ ටාබෝල බෙදාහැරීම නිමවන්න	0.4859533749113325	0.803175
57	animation	සජීවනය	0.4858291163109243	1.0
59	C++ compiler flags	ගොනුව කම්පයිල් කරන්න	0.4855102763976902	0.451128
60	All files	සියළු ගොනු	0.4852228158270009	0.527273
61	Print page header	මුද්‍රණ පූර්‍වදැදැක්ම	0.48516652558464557	0.861111
64	Delete the selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.48422136713634245	0.846154
65	A generic project	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.48417901594075374	0.68638
66	Remove File	ඉවත් කරන්න	0.4838332842628006	0.481061
67	Git operations	සමුහ වත්කම්	0.4832932338467799	0.658333
68	Save current file	වර්තමාන ගොනුව සුරකින්න	0.48314891546033323	0.665459
70	All text files	සියළු ගොනු	0.4820761674491223	0.427273
71	Compile current editor file	වර්තමාන පෙල සකසුම් ගොනුව කම්පයිල් කරන්න	0.48151181085268036	0.875
72	Update file/directory	නව ඩිරෙක්ටරි බිහිකරන්න	0.4803749516577227	0.5583
73	Shortcut	කෙටි මාර්‍ගය	0.4802559688396286	0.807692
74	Deleted	මකන්න	0.48010640559368767	1.0
75	Copy the selected text to the clipboard	තෝරාගත් පෙළ පසුරුපුවරුව වෙත පිටපත් කරන්න	0.4801044400810497	0.629268
76	Select Game	තරගයක් තෝරන්න	0.48001617478439584	1.0
77	Audio Settings	ජාල සැකසුම්	0.479957637147627	0.633333
78	ace of diamonds	රුවිත ආසියා	0.47928958779084496	0.375
80	Switch button	මාරුකිරීමේ බොත්තම	0.4785508973011072	0.555556
81	Remove Files:	ලඟදී විවර කල ගොනු	0.4784608267946169	0.388889
82	Search	සොයන්න	0.47840893652755767	1.0
83	Print page footer	මුද්‍රණ පූර්‍වදැදැක්ම	0.4783456371515058	0.861111
84	Create new directories	නව ඩිරෙක්ටරි බිහිකරන්න	0.47769437727401964	1.0
85	nine of diamonds	රුවිත නවය	0.47761373495450243	0.447059
86	Update remote branches	ප්‍රස්තාරය යාවත්කාලීන කරන්න	0.4775532915373333	0.392081
