	english	sinhala	Similarity score	Alignment score
330	Select file	සියල්ල තෝරන්න (_A)	0.30330600007681113	0.423246
284	Remove File	ඉවත් කරන්න	0.29751564048304374	0.481061
531	Select File	ගොනුව තෝරන්න	0.29720026884841644	0.439103
827	Example: username	උදාහරණය: පරිශීලක නාමය	0.29229782711187585	0.818182
84	Could not open file	ගොනුව විවෘත කළ නොහැක	0.28770539223848557	0.535714
182	Close all files	සියළුම ගොනු වසන්න	0.2857673402980829	0.645833
397	Select Files	ලඟදී විවර කල ගොනු	0.2856979344194111	0.722222
412	Remove Files	ලඟදී විවර කල ගොනු	0.28304488013733753	0.369658
530	Save file	ගොනුව සුරකින්න	0.28282930290627883	0.45
101	execvp failed	execvp අසාර්ථකයි	0.2797035278667879	1.0
259	All files	සියළු ගොනු	0.27771196727086905	0.527273
173	Close file	ගොනුව වසන්න	0.27529602769189826	0.477273
3	Select All	සියල්ල තෝරන්න	0.2741009656413609	0.568182
283	Select file to add:	සුරැකීම සඳහා අවශ්‍ය අයිතම තොරාගන්න	0.27127191450173627	0.303571
411	Remove Files:	ලඟදී විවර කල ගොනු	0.2699733825185801	0.388889
685	Select a contact	සබඳතාවක් ‍තෝරාගන්න	0.26574049488672763	0.455882
682	Send file	ගොණුව යවන්න	0.2652430074312209	0.5
502	"Could not open folder ""%s"""	"""%s"" බහලුම විවෘත කල නොහැක"	0.2639848332639623	0.396724
435	"Could not open file ""%s"": %s"	ගොනුව විවෘත කළ නොහැක	0.2637574488175946	0.458128
683	Infor_mation	තොරතුරු (_M)	0.26340023624874453	0.692308
174	Save file as	ගොනුව සුරකින අයුර	0.2631897078859549	0.358974
19	Select Game	තරගයක් තෝරන්න	0.2631053617245781	1.0
279	Project doesn't exist	'%s' ක්‍රමලේඛය නොපවතියි	0.2616560846926022	0.714015
204	Find _Previous	සොයන්න පෙර (_P)	0.2615245844912959	0.489583
593	Find _Previous	ඉදිරියට සොයන්න	0.2615245844912959	0.4
178	Save current file	වර්තමාන ගොනුව සුරකින්න	0.26124122991834847	0.665459
369	Select a Folder	ප්ලගිනයක් තෝරාගන්න	0.2604543378726255	0.481908
315	Delete the selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.2604366672546218	0.846154
61	Start a new game	නව තරගයක් ආරම්ඹකරන්න	0.2602927029567605	0.502801
432	Create a new project	නව ඩිරෙක්ටරි බිහිකරන්න	0.25985040443128665	0.544513
233	"Cannot execute command: ""%s"""	"""%s"" විධානය ක්‍රියාත්මක කල නොහැක"	0.2593405472209007	0.481714
