	english	sinhala	Similarity score
702	Switch device	උපකරණය සිරුමාරුව	0.5230794716371249
709	Keyboard Type	යතුරු පුවරු වර්ගය	0.5115601991545664
580	Mailbox files	සියළු ගොනු	0.5085433402970502
450	Copy the selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.5067860651097885
482	Highlight syntax	උද්දීපන ආකාරය (_H)	0.5067585749441086
628	profile file	ගොනුව කම්පයිල් කරන්න	0.5064957204610789
774	Book Shelf	පොත් රාක්කය	0.5051549456299168
422	View log	සටහන් දර්ශනය	0.5045512029705527
521	Select a Folder	ප්ලගිනයක් තෝරාගන්න	0.5035245241639821
664	Scan the file system	ගොනු පද්ධතිය පරිලෝකණය කරන්න	0.5033534481781259
366	Synchronization file	සමමුහුර්ථකරණ URI එක	0.5027499751549334
795	Change typing break settings	#-#-#-#-# si.po (si) #-#-#-#-# දෝෂහරිණ කේත සක්‍රිය කරන්න #-#-#-#-# si.po (si) #-#-#-#-#	0.5018054132183937
588	Sort shortcuts	කෙටි මාර්‍ගය	0.5009896333903483
711	Save file	ගොනුව සුරකින්න	0.500604326009206
381	Select a build directory	පෙල සකසුවේ සියලුම පෙල තෝරාගන්න	0.5003589220106874
1080	Discover Binding	බන්ධනය අනාවරණය කරන්න	0.5001910176995682
707	Switch button	මාරුකිරීමේ බොත්තම	0.5000394626023018
799	Audio Settings	ජාල සැකසුම්	0.4998647629534273
470	Select file	සියල්ල තෝරන්න (_A)	0.49979368103965777
712	Select File	ගොනුව තෝරන්න	0.49979368103965777
643	list box	ලැයිස්තුව	0.49936514261378545
82	the six of spades	ඉස්කෝප්ප හය	0.49932625274679976
427	Select Mailbox File	සියල්ල තෝරන්න (_A)	0.49931986859263894
952	Reconnect	නැවත සම්බන්ධවන්න	0.4991094333123943
425	Create patch series	නව ඩිරෙක්ටරි බිහිකරන්න	0.4990975183847288
704	Switch key	යතුරු මාරුව	0.49865043566107203
419	Unstage Files	ලඟදී විවර කල ගොනු	0.4977404996276446
807	Compact contact list	සංයුක්ත සබඳතා ලැයිස්තුව	0.49759977836178865
540	Search variable	විචල්‍යය	0.49712625198304383
556	Select Files	ලඟදී විවර කල ගොනු	0.4969020952508874
