	english	sinhala	Similarity score	Alignment score
0	Keyboard settings	යතුරුපුවරු සැකසුම්Name	0.5831395708373748	0.51087
1	Keyboard Layout	යතුරුපුවරු ආකෘතියName	0.5672809696407057	0.53125
2	Configure trash settings	ඉවතලන බඳුන සකසන්නExtraNames	0.5653504328802228	0.483571
3	Sliding animation for Plasma popups	ප්ලාස්මා පොප්අප් සඳහා ලිස්සන සජීවීකරණName	0.5621855430799769	0.795635
4	Thumbnail Handler	සිගිති රූ හැසිරුමName	0.5616498327581212	0.931818
5	Vector Drawing	දෛශික ඇදීමName	0.5609510627691634	0.566667
6	Configure keyboard and mouse settings	යතුරුපුවරු හා මවුස සැකසුම් සාදන්නName	0.5606580263411161	0.592105
7	Netscape Address Book	Netscape ලිපින පොතName	0.5599814776214771	0.687747
8	Music Sequencer	සංගීත පිළිවෙළGenericName	0.5593579228734598	0.6925
9	Playlist Layouts	වාදන ලැයිස්තුව	0.5591160794137977	0.431373
10	Configure service discovery	සේවා අනාවරණය සැකසීමName	0.5583457388856914	0.654762
11	Login into the bug tracking system	KDE වැරදි හඹායෑම් පද්ධතිය වෙත (% 1) ලෙස:% 2 ට පිවිසී ඇත. @ info/ rich	0.5581557787372731	0.542857
12	Information about bug reporting	වැරදි වාර්ථාකරණය පිළිබඳ තොරතුරු@ info/ rich	0.5575019152020104	0.585227
13	Configure general file manager settings	සාමාන්‍ය ගොනු කළමාණාකරන සැකසුම් සකසන්නName	0.556307886436116	0.57907
14	Copy playlist layout	වාදන ලැයිස්තු නාමය:	0.5556712213438004	0.316667
15	Rename playlist layout	වාදන ලැයිස්තු නාමය:	0.5542614650912583	0.302174
16	Change playlist	වාදන ලැයිස්තුව සෙවුම	0.5534252270008437	0.857143
17	Biased playlists	වාදන ලැයිස්තුව	0.5531915938481688	0.372549
18	Default Layout	වාදන ලැයිස්තුව	0.5512307104072534	1.0
19	Clipboard Viewer	ක්ලිප්බෝඩ් දසුනName	0.5510359678301029	1.0
20	Configure file manager navigation	ගොනු කළමණාකරන සැරිසැරුම සැකසීමName	0.5506471232511103	0.304202
21	Vector-based Drawing Program	දෛශික මත පදනම් වූ ඇදීමේ වැඩසටහනName	0.549840274383314	0.833333
22	HighColor Classic	අධි වර්ණ සාම්ප්‍රදායිකComment	0.5491837841982488	0.627778
23	Traditional menu based application launcher	සාම්ප්‍රදායික මෙනු පාදක කරගන් යෙදුම් අරඹනයName	0.5490040995573509	0.625242
24	Configure active screen edges	සක්‍රීය තිර අග්‍ර සකසන්නName	0.5483527164906263	0.745402
25	Web widget style	වෙබ් මෙවලම් රටාවName	0.5468924227170646	0.627451
26	Global Keyboard Shortcuts	ගෝලීය යතුරුපුවරු කෙටිමංComment	0.5468878999818116	0.418114
28	Error fetching the bug report list	වැරදි වාර්ථා ලැයිස්තු ලබාගැනීමේ වරදක්@ info/ rich	0.5464316246943781	0.315714
29	Interact with the Plasma desktop shell	ප්ලාස්මා වැඩතල ශෙලය සමඟ අන්තර්ක්‍රියාකාරීName	0.5464009950665059	0.791806
30	Service Discovery	සේවා අනාවරණයComment	0.5463027954683639	1.0
31	Switch between virtual desktops	අතත්‍ය වැඩතල අතර මාරුවන්නName	0.5461595544766169	0.548958
32	Error fetching the bug report	වැරදි වාර්ථාව ලබා ගැනීමේ වරදක්@ info/ plain	0.5456710761645809	0.364394
33	Taskbar Thumbnails	ක්‍රියා තීරු කුඩාරූComment	0.5455118638346903	0.907407
