	english	sinhala	Similarity score	Alignment score
0	File %1 does not exist	% 1 ගොනුව හමුවූයේ නැත	0.29220208136158754	0.600791
1	"Are you sure you wish remove the ""%1"" theme?"	"""% 1"" තේමාව ඉවත් කිරීමට අවශ්‍යබව විශ්වාසද?"	0.2860263015900273	0.420413
2	"Do you really want to deactivate ""%1""?"	"ඔබට ඇත්තෙන්ම ""% 1"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.2808436313571292	0.638044
3	Could not install %1	% 1 ස්ථාපනය කළ නොහැකි විය	0.27970541934856497	0.731685
4	Could not open file %1	% 1 ගොණුව විවෘත කල නොහැක	0.27949347513276734	0.562609
5	"Error: Unable to open configuration file ""smb. conf"""	"වරදක්: ""smb. conf"" සැකසුම් ගොණුව සොයාගත නොහැක"	0.2766343720686564	0.517022
6	Remove Display	දර්ශකය ඉවත් කරන්න	0.2731288291342935	0.372222
7	Switch to Screen 1	1 වන තිරයට මාරුවන්න	0.27249059489622596	0.511842
8	"Do you really want to activate ""%1""?"	"ඔබට ඇත්තෙන්ම ""% 1"" සක්‍රීය කිරීමට අවශ්‍යද?"	0.2708261873867741	0.630421
9	(usually X)	(සාමාන්‍යයෙන් X)	0.2700904697267106	1.0
10	Switch to Screen 2	2 වන තිරයට මාරුවන්න	0.26808449055897654	0.511842
11	Are you sure you want to remove the program ` %1 '?	ඔබට `% 1 'වැඩසටහන ඉවත් කල යුතුබවට විශ්වාසද?	0.2669586067640921	0.371503
12	Switch to Screen 5	5 වන තිරයට මාරුවන්න	0.2666091254559433	0.511842
13	"Do you really want to activate ""%1"" and to deactivate ""%2""?"	"ඔබට ඇත්තෙන්ම ""% 1"" සක්‍රීය කිරීමට හා ""% 2"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.2656629820630769	0.443159
14	Unable to create folder %1	% 1 බහාළුම සැකසිය නොහැකි විය	0.26547373347057146	0.340358
15	File not found: %1	ගොනුව හමුවූයේ නැත:% 1	0.2647810282363453	0.320574
16	Select the icon theme you want to use:	ඔබට භාවිත කිරීමට අවශ්‍ය අයිකන තේමාව තෝරාගන්න:	0.26475253499847895	0.455128
18	Select Display Type	දර්ශක වර්‍ගය තෝරන්න	0.26464369191307924	0.3
19	Select users and groups:	තෝරාගත් පරිශීලකයන් හා කණ්ඩායම් (e)	0.26223032831330784	0.411429
20	Could not write to %1	% 1 වෙත ලිවිය නොහැක	0.2620762630394893	0.572727
21	"Do you really want to deactivate ""%1"" and ""%2""?"	"ඔබට ඇත්තෙන්ම ""% 1"" හා ""% 2"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.26105597731657326	0.502404
22	Are you sure you wish to delete: %1	ඔබට මැකීමට අවශ්‍ය බව ඔබට විශ්වාස ද:% 1	0.2608955118848826	0.388889
23	Switch to Screen 4	4 වන තිරයට මාරුවන්න	0.26056771924413624	0.511842
24	"Library ""%1"" not found"	"""% 1"" පුස්තකාලය හමුවුයේ නැත"	0.26012410531163926	0.673137
25	Remove this display?	මෙම දර්ශකය ඉවත් කරන්නද	0.25970102742121526	0.847826
26	Switch to Screen 7	7 වන තිරයට මාරුවන්න	0.2595780804131209	0.511842
27	& Remove Display	සංදර්ශනය ඉවත් කරන්න (R)	0.2595465500562568	0.452206
28	Open new windows:	නව කවුළු විවෘත කරන්න:	0.2594911311243777	0.684343
29	Switch to Screen 3	3 වන තිරයට මාරුවන්න	0.25887020924983517	0.511842
30	This process was run with the following command: %1	මෙම සැකසුම පහත විධානය සමඟ ක්‍රියාත්මක වේ:% 1	0.25554952459424385	0.547009
31	The JobView for %1 cannot be found	% 1 සඳහා කාර්‍යය දසුන සොයාගත නොහැක	0.2552914989373676	0.8
32	"Theme items have been changed. Do you still wish remove the ""%1"" theme?"	"තේමා අයිතමය වෙනස් වී ඇත. ඔබ තවමත් ""% 1"" තේමාව ඉවත් කිරීමට සිතනවාද?"	0.25519606036687037	0.717765
33	Cannot save file %1	% 1 ගොනුව සුරකිය නොහැක	0.2547177035232835	0.373913
34	Do you really want to enable '%1'?	ඔබට '% 1' සක්‍රීය කිරීමට අවශ්‍ය ද?	0.25457020768499206	0.414286
35	networking: is not enabled	ජාලය: සක්‍රීයව නැත	0.25447728841390926	0.559454
36	"Do you really want to activate ""%1"" and ""%2""?"	"ඔබට ඇත්තෙන්ම ""% 1"" හා ""% 2"" සක්‍රීය කිරීමට අවශ්‍යද?"	0.2542928537732223	0.715719
37	Select All	සියල්ල තෝරන්න	0.25425547676422866	0.568182
38	Memory usage: %1	මතක භාවිතය:% 1	0.25323340863906196	0.505882
39	Script error: Argument to setHtml() was not a string	සක්‍රිප්ට දෝශයක්: setHtml () වෙත ඇති තර්‍කය යෙදුමක් නොවේ	0.25314197172701824	0.518537
40	Switch to %1	% 1 වෙත මාරුවන්න	0.2530308397599583	0.708145
41	Switch to Next Screen	මීළඟ තිරයට මාරුවන්න	0.2529759532153548	0.622727
42	Select Files...	ගොනු තෝරන්න...	0.25274236374605374	0.614583
43	wireless: is not enabled	රැහැන් රහිත: සක්‍රීයව නැත	0.2524433586950181	0.472308
44	A policy already exists for %1 Do you want to replace it?	% 1 සඳහා දැනටමත් ප්‍රතිපත්තියක් පවතී. ඔබට එය ප්‍රතිපිහිටුවීමට ඇවැසිද?	0.2522402364083973	0.544335
45	Error: %1 does not have the interface StorageAccess.	දෝෂය:% 1 හට StorageAccess අතුරු මුහුණතක් නැත.	0.25162772281692014	0.485849
47	sets the application name	පෙරනිමි යෙදුම් නාමය සකසයි	0.251386775863468	0.769231
48	A group named '%1 'already exists.	'% 1' නමින් දැනටමත් සමූහයක් ඇත.	0.25138671495642484	0.713839
49	Use window title	කවුළු මාතෘකාව භාවිත කරන්න	0.2513098798954161	0.563348
52	Unable to load script file: %1	'% 1' විවෘත කළ නොහැක	0.25088180278544314	0.599078
53	turn off computer	පරිගණකය වසාදමන්න	0.25035254928297945	0.861111
54	Failed to download %1	% 1 බෑම අසාර්ථකයි	0.25035007952101296	0.560606
55	If supported, this option allows you to setup the state of NumLock after KDE startup. You can configure NumLock to be turned on or off, or configure KDE not to set NumLock state.	සහාය දක්වයි නම්, මෙම විකල්පය ඔබට KDE ආරමභයෙන් පසු NumLock හී තත්වය සැකසීමට ඉඩ දේ. ඔබට Numlock සක්‍රීයව හෝ අක්‍රීයව තැබිය හැක. නැතහොත් Numlock තත්වයක් නොසැකසීම සඳහා KDE සකසන්න.	0.25016097428851936	0.402584
56	Do you really want to disable '%1'?	ඔබට '% 1' අක්‍රීය කිරීමට අවශ්‍ය ද?	0.24970459578980808	0.63373
57	Used for normal text (e. g. button labels, list items).	සාමාන්‍ය පෙළ සඳහා භාවිත වේ (උදා. බොත්තම් ලේබල, ලැයිස්තු අයිතම).	0.24966139072421356	0.542411
59	(usually Y)	(සාමාන්‍යයෙන් Y)	0.24907651207468007	1.0
60	restart computer	පරිගණකය ප්‍රථිපණගන්වන්න	0.24878036236623302	0.431373
61	Do not use Xvfb	Xvfb භාවිතා නොකරන්න	0.24874122212529828	0.90625
62	Press %1 while NumLock is active	NumLock සක්‍රීය විට% 1 ඔබන්න	0.24863878758014835	0.33908
63	Add New	නව එක් කිරීම	0.248606395747629	0.365385
64	request was canceled	ඉල්ලීම අහෝසි කරන ලදි	0.2481901385556753	0.666667
65	"Do you really want to activate ""%1"", ""%2"" and ""%3"" and to deactivate ""%4""?"	"ඔබට ඇත්තෙන්ම ""% 1"" ""% 2"" හා ""% 3"" සක්‍රීය කිරීමට හා""% 4 ""අක්‍රීය කිරීමට අවශ්‍යද?"	0.24807966181833763	0.541235
66	Unable to start service %1. Error: %2	සේවාව ආරම්භ කල නොහැකි විය% 1. වරදක්:% 2	0.24787270758133673	0.796053
67	%1 does not exist.	% 1 නොපවතී	0.2472129878897249	0.672249
68	"Do you really want to deactivate ""%1"", ""%2"" and ""%3""?"	"ඔබට ඇත්තෙන්ම ""% 1"" ""% 2"" හා ""% 3"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.2470559551511542	0.725096
69	name or service not known	නම හෝ සේවාව නොදනි	0.2470147978522514	0.923077
70	Failed to open %1 for writing	ලිවීම සඳහා% 1 විවෘත කල නොහැකි විය	0.2462938937369472	0.610784
71	No actions for WM_CLASS	WM_ CLASS සඳහා ක්‍රියාවන් නොමැත	0.24590437035385548	0.75
72	The given device %1 could not be opened: %2	දෙන ලද% 1 උපකරණය විවෘත කල නොහැක:% 2	0.24570298517392075	0.440657
73	Failed to remove theme '%1 '	'% 1' තේමාව ඉවත් කිරීම අසාර්ථකයි	0.24560003683473042	1.0
74	Script error: Argument to fileExists() was not a string	ස්ක්‍රිප්ට දෝශයක්: fileExists () තර්‍කය යෙදුමක් නොවෙ	0.24519348427566	0.578673
76	Press %1 while ScrollLock is active	ScrollLock සක්‍රීය විට% 1 ඔබන්න	0.24446313079261017	0.397569
77	Error: %1 does not have the interface OpticalDrive.	දෝෂය:% 1 හට OpticalDrive අතුරු මුහුණතක් නැත.	0.24415819326873134	0.475214
78	Script error: Argument to readFile() was not a string	සක්‍රිප්ට දෝශයක්: readFile () වෙත ඇති තර්‍කය යෙදුමක් නොවේ	0.24415491209219908	0.527139
79	Are you sure you wish to delete:	ඔබට මැකීමට අවශ්‍ය බව ඔබට විශ්වාස ද:	0.24408043773291865	0.335859
80	Do you really want to delete '%1'?	ඔබට '% 1' මැකීමට අවශ්‍ය ද?	0.24399608073781565	0.703175
81	Could not remove all files associated with %1	% 1 සමඟ සහයෝගී සියළු ගොනු ඉවත්කල නොහැක	0.24388076034301776	0.473802
82	This file (%1) does not exist. You can only select local files.	(% 1) ගොණුව නොපවතී, ඔබට තෝරාගත හැක්කේ ප්‍රාදේශීය ගොණූ පමණයි	0.2435981512098806	0.590625
83	Select type:	වර්‍ගය තෝරන්න:	0.24344774744531605	0.497436
84	"Do you really want to activate ""%1"", ""%2"" and ""%3""?"	"ඔබට ඇත්තෙන්ම ""% 1"", ""% 2"" හා ""% 3"" සක්‍රීය කිරීමට අවශ්‍යද?"	0.2433604154502973	0.723598
85	Press %1 while CapsLock is active	CapsLock සක්‍රීය විට% 1 ඔබන්න	0.2432469020386634	0.359804
86	Select Type	වර්‍ගය තෝරන්න	0.24311702215345576	0.541667
87	"Do you really want to activate ""%1"" and to deactivate ""%2"", ""%3"" and ""%4""?"	"ඔබට ඇත්තෙන්ම ""% 1"" සක්‍රීය කිරීමට හා ""% 2"", ""% 3"" හා ""% 4"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.2429939771500358	0.574297
88	servname not supported for ai_socktype	servname, ai_ socktype සඳහා සහාය නොදක්වයි	0.24221505155613132	0.68315
89	Switch to Tab %1	% 1 ටැබයට මාරුවන්න	0.24212920890386158	0.583591
90	Delete all selected fonts	තෝරාගත් සියලු අකුරු මකන්න	0.24173568317928584	0.423077
91	socket has not been created	සොකට් එක සීමා වී නැතSocket error code WouldBlock	0.24172720459336314	0.346939
