	english	sinhala	Similarity score	Alignment score
0	Couldn't write to BMP file	BMP ගොනුවට ලිවිය නොහැකි විය	0.33076892676345976	0.581349
1	Couldn't write to TIFF file	TIFF ගොනුවට වෙත ලිවීමට නොහැකි විය	0.32384434419160035	0.355042
3	Example: user@hotmail.com	නිදසුන: user@hotmail.com	0.30614644937304547	1.0
4	Failed to load TIFF image	TIFF පිළිඹිබුව පූරණය අසමත් විය	0.3038201051977827	0.408189
5	does not contain	අඩංගු නැත	0.3026219317544019	0.317647
6	Failed to write TIFF data	TIFF වෙත දත්ත ලිවීම අසමත් විය	0.30261694867911626	0.59359
7	Couldn't create new pixbuf	නව pixbuf නිර්මාණය කළ නොහැක	0.3011332635315449	0.672619
8	Example: user@gmail.com	නිදසුන: පරිශීලක@gmail.com	0.30029640944485436	1.0
9	Failed to open TIFF image	TIFF පිළිඹිබුව විවෘත කිරීම අසමත් විය	0.298886405334117	0.340956
10	Example: username	නිදසුන: පරිශීලක නාමය	0.29502814422448864	0.440476
11	"Could not open ""%s"""	"""%s"" විවෘත කළ නොහැක"	0.29307916610559914	0.525
12	Date and Time	දිනය සහ වේලාව	0.29299949340202147	0.607143
13	Add Files	ගොනු එක් කරන්න	0.29230679981264984	0.366667
14	PNM file is not in a recognized PNM subformat	PNM ගොනුව හදුනාගත් PNM උපසංයුතියක් නොවේ	0.29152905119175765	0.913043
15	Could not get image width (bad TIFF file)	පිළිඹිබු පළල ලබාගත නොහැකි විය (අයෝග්‍ය TIFF ගොනුව)	0.2903033232543364	0.753501
16	Add w_ord	වචන එක් කරන්න (_o)	0.28939377241450825	0.431579
17	Example: user@jabber.org	නිදසුන: පරිශීලක@jabber.org	0.28911809716009884	1.0
18	Date sent	යවන ලඳ දිනය	0.2888439096059301	0.833333
19	GIF file was missing some data (perhaps it was truncated somehow?)	GIF ගොනුවේ සමහර දත්ත නැතිවි ඇත (සමහර විට එය කිසියම් අයුරකින් ලුප්ත වි ඇත)	0.28818563769377875	0.757866
20	Could not get image height (bad TIFF file)	පිළිඹිබු උස ලබාගත නොහැකි විය (අයෝග්‍ය TIFF ගොනුව)	0.2875759911458058	0.730465
21	does not end with	සමඟ අඩංගු නොවේ	0.28738066264850204	0.55
23	does not exist	ඇතුළත් නැත	0.2867211854609195	0.315152
24	Insufficient memory to load PNG file	PNG ගොනුව පූරණයට මතකය ප්‍රමාණවත් නැත	0.28646766843013866	0.581081
25	Error saving file %s	%s ගොනුව සුරකීම දෝෂ සහිතයි	0.2851685766551283	0.357143
26	Can not open file	පොත විවෘත කළ නොහැක	0.2846705638548883	0.565789
27	Example: user@my.sip.server	නිදසුන: පරිශීලක@my.sip.server	0.28146050113900856	1.0
28	All files	සියළුම ගොනු	0.2802423163511776	1.0
29	All files	සියළු ගොනු	0.2802423163511776	0.527273
30	Select all files	ගොනු සියල්ල තෝරන්න	0.2801178192257794	0.337461
31	PNM file has an incorrect initial byte	PNM ගොනුව තුළ සාවද්‍ය ආරම්භක බයිටයක් ඇත	0.27995187780188935	0.493269
32	Select All	සියල්ල තෝරන්න	0.2785190070480894	0.568182
33	"Could not remove ""%s"": %s"	"""%s"" ඉවත් කල නොහැක: %s"	0.2778450662135583	0.590301
34	Insufficient memory to open TIFF file	TIFF ගොනුව විවෘත කිරීමට මතකය ප්‍රමාණවත් නැත	0.27761349466873003	0.835526
35	Not enough memory to load GIF file	GIF ගොනුව පූරණයට ප්‍රමාණවත් මතකයක් නැත	0.27649965450354586	0.497802
36	Add account…	ගිණුම එක් කරන්න…	0.276328629015552	0.842105
39	Send an email	විද්‍යුත් තැපැලක් යවන්න	0.27460125678408076	0.72619
42	XPM file has image width <= 0	XPM ගොනුවේ පිළිඹිබු පළල <= 0	0.2740064242247185	0.764368
43	"Could not save the archive ""%s"""	"""%s"" සංරක්‍ෂණය සුරකිමට නොහැකි විය"	0.27396127358315425	0.348346
44	PNM file has an image width of 0	PNM ගොනුවෙහි පිළිඹිබු පළල ශුන්‍ය වේ	0.2738833473895186	0.532828
45	File Saving	ගොනුව සුරැකෙමින්	0.2738615006615665	0.384804
46	Date/Time:	දිනය/වේලාව:	0.27358267221643473	1.0
47	the current time	දැන් වේලාව	0.27353196073818253	0.764706
48	XPM file has image height <= 0	XPM ගොනුවේ පිළිඹිබු උස <= 0	0.27258220731404254	0.677995
50	I_mage	පිංතූරය (_m)	0.27164225029261735	0.692308
53	Deselect all files	තෝරාගත් ගොනු සියල්ල අත්හරින්න	0.2713497805334555	0.463158
57	Error opening file %s	%s ගොනුව විවෘත කීරිම දෝෂ සහිතයි	0.2700562640343622	0.521307
58	(no suggested words)	(යෝජනා කළ වචන නැත)	0.26985524827113716	0.577694
59	Email 1	විද්‍යුත් තැපෑල 1	0.2687092996384308	0.722222
60	PNM file has an image height of 0	PNM ගොනුවෙහි පිළිඹිබු උස ශුන්‍ය වේ	0.2682581909875449	0.463866
61	"Could not display the folder ""%s"""	"""%s"" බහලුම පෙන්විය නොහැක"	0.2677473418534646	0.451176
62	Failed to open file '%s': %s	'%s' ගොනුව විවෘත කිරීම අපහසුවිය: %s	0.2673714667544118	0.605364
63	Start date	ආරම්භක දිනය	0.266449220555387	1.0
64	Example: 123456789	නිදසුන: 123456789	0.26619335451141524	1.0
65	An error occurred while creating a new file	නව ගොනුව නිර්මාණය කිරීමෙදි දෝෂයක් හටගැනුණි	0.26617106713361266	0.620772
66	Image has invalid width and/or height	පිළිඹිබුව සතුව සාවද්‍ය උසක් සහ/හෝ පළලක් ඇත	0.2655795148889264	0.629743
67	_Selected files	තෝරාගත් ගොනු (_S)	0.2655615919320553	0.777778
68	Date received	ලැබුනු දිනය	0.26533047566044843	1.0
69	Select today	අද දවස තෝරන්න	0.2651378717710031	0.337912
70	Choose a folder	බහාලුමක් තෝරන්න	0.2646352627352826	0.4375
71	Create a new contact	නව සම්බන්ධතා නිර්මාණය කරන්නNew	0.26451747693317884	0.663594
72	Not enough memory to load image	පිළිඹිබුව පූරණයට ප්‍රමාණවත් මතකයක් නැත	0.2641906213335773	0.563301
73	No contacts	සබධතා නැත	0.26409809929464245	0.675
74	Google Talk	ගූගල් Talk	0.26396138873678865	1.0
75	Insufficient memory to load PNM file	PNM පිළිඹිබුව පූරණයට මතකය ප්‍රමාණවත් නැත	0.2639106500119398	0.568227
76	Failed to load RGB data from TIFF file	TIFF ගොනුවෙන් RGB දත්ත පූරණය අසමත් විය	0.26387147680776174	0.358974
77	Image file '%s' contains no data	%s පිළිඹිබු ගොනුව තුළ දත්ත නැත	0.2632614060939886	0.513685
78	Email 2	විද්‍යුත් තැපෑල 2	0.2631409529094526	0.722222
