	english	sinhala	Similarity score	Alignment score
396	Example: user@hotmail.com	නිදසුන: user@hotmail.com	0.2981885243526984	1.0
389	Example: user@gmail.com	නිදසුන: පරිශීලක@gmail.com	0.2931755989768645	1.0
1340	Add w_ord	වචන එක් කරන්න (_o)	0.29129216891882653	0.431579
379	Example: username	නිදසුන: පරිශීලක නාමය	0.28718651421414754	0.440476
784	(Completed	(නිම කළා Completed COMPLETED	0.2844866450565557	0.672414
391	Example: user@jabber.org	නිදසුන: පරිශීලක@jabber.org	0.28196268229917204	1.0
979	Add Files	ගොනු එක් කරන්න	0.27958517410800404	0.366667
997	"Could not open ""%s"""	"""%s"" විවෘත කළ නොහැක"	0.27893358767958615	0.525
696	does not contain	අඩංගු නැත	0.2789236708888611	0.317647
687	Can not open file	පොත විවෘත කළ නොහැක	0.27643497790611654	0.565789
1380	I_mage	පිංතූරය (_m)	0.2740551545371292	0.692308
1028	Select all files	ගොනු සියල්ල තෝරන්න	0.27394114307944634	0.337461
398	Example: user@my.sip.server	නිදසුන: පරිශීලක@my.sip.server	0.2722676740786079	1.0
858	does not end with	සමඟ අඩංගු නොවේ	0.2719413066550674	0.55
251	Add account…	ගිණුම එක් කරන්න…	0.27089240918374313	0.842105
1022	Deselect all files	තෝරාගත් ගොනු සියල්ල අත්හරින්න	0.26849653571377774	0.463158
594	All files	සියළුම ගොනු	0.2664473437729461	1.0
241	All files	සියලු ගොනුdisc	0.2664473437729461	1.0
955	All files	සියළු ගොනු	0.2664473437729461	0.527273
859	does not exist	ඇතුළත් නැත	0.26598893861134454	0.315152
825	Date and Time	දිනය සහ වේලාව	0.26485882344048134	0.607143
1113	Couldn't write to BMP file	BMP ගොනුවට ලිවිය නොහැකි විය	0.26395624722642236	0.581349
1207	Couldn't write to TIFF file	TIFF ගොනුවට වෙත ලිවීමට නොහැකි විය	0.26395256437692	0.355042
1151	Couldn't create new pixbuf	නව pixbuf නිර්මාණය කළ නොහැක	0.26307297021434384	0.672619
1072	"Could not remove ""%s"": %s"	"""%s"" ඉවත් කල නොහැක: %s"	0.26273963339386963	0.590301
1006	"Could not save the archive ""%s"""	"""%s"" සංරක්‍ෂණය සුරකිමට නොහැකි විය"	0.2619988178204444	0.348346
382	Example: 123456789	නිදසුන: 123456789	0.26142504583252796	1.0
832	Select All	සියල්ල තෝරන්න	0.26123025200632166	0.568182
1358	Select All	සියල්ලම තෝරන්න	0.26123025200632166	0.584848
698	is not	නොවනුයේ	0.2608341079116006	0.714286
411	Select...	තෝරන්න...	0.26002168251139557	1.0
1331	(no suggested words)	(යෝජනා කළ වචන නැත)	0.2596419456921843	0.577694
457	Send File	ගොනුව යවන්න	0.25942179143364846	0.5
421	not implemented	ක්‍රියාවට නංවා නැත	0.2580723934340556	0.506579
406	Couldn't convert image	පින්තූරය පරිවර්තනය කල නොහැක	0.25688473962031527	0.334627
152	but %s is installed	නමුත් %s ස්ථාපනය කොට ඇත	0.25459621562249424	0.779167
149	Installing file	ගොනුව ස්ථාපනය කරමින්	0.2545687574666734	0.486607
814	the current time	දැන් වේලාව	0.2544029443904502	0.764706
993	"Could not display the folder ""%s"""	"""%s"" බහලුම පෙන්විය නොහැක"	0.25429940960657793	0.451176
1017	_Selected files	තෝරාගත් ගොනු (_S)	0.2542933342520025	0.777778
857	Date sent	යවන ලඳ දිනය	0.25421017370665067	0.833333
361	Password not found	මුරපදය හමුනොවුණි	0.2532005650211174	0.442724
